Dep_Time,Arrival_Time,Duration,Total_Stops,date,month,Airline_Air India,Airline_IndiGo,Airline_Jet Airways,Airline_Multiple carriers,Airline_SpiceJet,Source_Banglore,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Delhi,Price
14,13,1355,1,6,12,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10262
20,19,1380,2,6,12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13381
16,13,1235,1,27,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12898
14,19,310,1,3,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19495
22,13,920,1,21,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6955
4,7,170,0,4,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3943
19,22,175,0,5,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4823
19,8,800,1,5,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7757
21,13,910,2,6,9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13292
22,4,345,1,6,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8238
7,13,355,1,15,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7682
10,13,170,0,18,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4668
7,9,135,0,15,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3687
7,9,135,0,18,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3687
10,23,805,2,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13227
4,7,170,0,4,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4423
15,13,1320,2,15,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10919
7,13,330,1,18,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12373
11,21,625,1,27,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5894
15,20,315,1,21,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4649
14,17,150,0,18,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6245
7,13,375,1,3,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19225
7,19,715,1,6,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14924
7,18,665,1,21,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9646
7,15,510,1,15,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8714
21,19,1325,1,18,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12373
11,14,165,0,5,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3383
9,21,720,1,21,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13062
6,9,170,0,24,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3527
4,7,170,0,27,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3943
12,14,135,0,5,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4667
19,11,965,1,15,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6117
23,19,1195,2,27,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11150
11,14,195,0,3,9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7202
10,11,1520,1,5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12121
22,1,170,0,24,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4377
21,0,180,0,18,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3943
24,3,170,0,4,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4483
20,12,975,1,24,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14231
9,24,905,2,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17345
7,9,135,0,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414
19,2,390,1,5,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8073
16,17,1505,1,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12395
9,22,745,1,6,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8366
6,9,1640,1,4,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5117
9,19,615,1,6,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12524
15,2,630,1,15,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7191
7,9,135,0,24,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3687
11,21,625,1,24,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5894
10,13,170,0,24,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5403
14,15,90,0,5,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3625
6,19,800,2,21,5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10861
13,16,135,0,3,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6297
7,8,85,0,6,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5678
6,8,1590,1,3,9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9134
12,19,440,1,24,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10791
23,13,810,2,24,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12819
5,10,300,1,21,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6893
10,13,165,0,3,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7240
12,14,170,0,4,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3898
6,8,90,0,4,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4049
18,13,1145,1,15,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10262
8,11,135,0,21,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3332
21,12,890,1,6,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10844
20,23,160,0,24,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7229
6,5,1330,1,5,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13941
11,21,575,1,27,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5894
9,19,600,1,18,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10197
14,11,1280,1,3,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13712
2,7,325,1,24,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5636
10,4,1125,2,6,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13014
8,21,740,1,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7064
20,14,1080,1,24,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10703
13,22,555,1,27,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9646
2,13,665,1,3,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17057
17,10,1050,1,3,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13817
6,19,800,2,3,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13748
21,23,155,0,21,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4880
5,8,145,0,21,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3540
6,9,160,0,15,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3257
20,23,180,0,6,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6478
7,8,85,0,18,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8040
20,13,995,2,6,12,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14300
8,21,740,1,15,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14781
20,8,735,1,6,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14939
21,4,450,1,24,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10262
15,15,1440,1,5,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6528
6,9,165,0,5,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6121
20,4,535,2,18,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13029
12,19,430,1,27,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11421
5,19,870,1,27,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7574
13,19,1820,2,5,9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11596
23,19,1195,2,24,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15129
14,5,900,1,18,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13555
19,22,175,0,4,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5780
20,9,765,1,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9397
18,4,610,1,3,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17024
7,13,355,1,27,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5281
7,22,925,1,18,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10348
17,9,965,1,3,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12677
15,2,610,1,3,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15147
7,10,160,0,6,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4668
7,19,715,1,5,9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15554
6,9,160,0,4,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3971
15,16,85,0,5,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3100
20,10,845,1,5,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9663
23,19,1215,1,3,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27430
5,8,145,0,5,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3540
12,11,1390,2,21,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10676
14,8,1090,1,6,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13044
20,12,960,1,5,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14388
4,7,170,0,24,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3943
15,17,140,0,6,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3597
12,20,480,1,21,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5932
12,4,1015,1,15,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10262
15,18,190,0,5,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6216
20,23,165,0,15,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4804
12,2,840,1,21,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14067
19,19,1430,2,18,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15129
7,4,1300,2,6,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13376
22,19,1275,2,27,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10441
6,9,165,0,24,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4030
8,19,650,1,3,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17024
18,2,480,1,4,9,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13017
24,8,495,1,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6686
2,7,325,1,15,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5636
8,16,515,1,6,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6442
13,1,710,1,21,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9486
20,24,1655,1,21,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10844
20,4,505,2,6,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15318
12,9,1255,1,4,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5117
15,20,290,1,24,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6147
13,21,490,1,6,9,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7005
22,1,140,0,4,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3873
18,19,1465,2,21,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9270
12,14,170,0,27,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3898
8,21,740,1,5,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14781
20,8,735,1,24,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8586
8,8,1415,2,5,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10697
20,13,995,2,27,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14300
19,22,170,0,3,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8855
16,18,1545,1,5,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10844
2,4,1570,1,3,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17024
10,14,1730,1,5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9314
1,3,165,0,24,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4777
12,13,1515,1,6,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7662
7,16,560,1,5,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6442
9,13,270,1,6,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5264
13,4,925,1,27,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12898
14,15,90,0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6092
6,9,160,0,21,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3311
19,4,550,1,27,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6540
2,4,165,0,27,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3419
14,13,1355,1,4,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5177
18,21,185,0,18,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8246
10,21,690,1,6,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14676
12,21,570,1,27,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13587
21,9,730,1,5,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9663
16,10,1055,1,6,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13044
20,2,305,1,4,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5073
17,19,1550,1,21,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9345
14,10,1200,1,5,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9663
8,21,780,1,21,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14277
10,4,1105,1,6,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10262
20,21,90,0,27,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5678
16,2,570,1,15,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13727
20,12,960,1,5,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9663
15,17,140,0,5,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3858
9,13,270,1,24,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4812
22,4,345,1,27,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5775
10,10,1450,1,6,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10539
16,18,155,0,6,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4804
11,14,165,0,6,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3383
12,17,295,1,3,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8738
5,7,1535,1,27,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7165
16,22,380,1,24,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6412
19,22,185,0,27,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8016
21,15,1120,1,3,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11087
10,12,135,0,27,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3543
16,5,730,1,6,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12471
9,4,1165,1,24,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10262
13,16,170,0,18,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4441
7,16,505,1,27,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12537
22,8,555,1,24,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10091
21,24,170,0,6,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6961
6,9,195,0,24,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5013
5,8,170,0,18,5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6934
7,19,740,1,6,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10877
15,18,175,0,18,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7229
16,2,575,1,27,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7048
17,20,155,0,27,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4878
14,24,570,1,21,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10844
23,4,1760,2,18,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15129
0,3,175,0,5,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3943
6,11,315,1,6,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5583
7,16,545,1,6,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9646
8,19,645,1,6,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7677
5,10,295,1,6,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6842
9,10,90,0,24,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4995
7,19,700,1,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9555
2,4,165,0,6,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4077
15,18,175,0,5,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7229
9,19,600,1,6,9,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12192
10,13,165,0,4,12,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5911
9,19,615,1,6,12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8372
7,9,85,0,18,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4995
10,19,555,1,5,9,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14323
6,4,1375,2,6,9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13014
14,19,1730,2,6,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13591
5,19,2245,2,3,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18799
24,2,170,0,27,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3943
6,7,90,0,21,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1965
10,12,90,0,27,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4995
17,18,1540,1,24,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14641
21,23,155,0,4,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4460
13,19,375,1,18,5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10191
2,20,1050,1,3,9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13843
22,4,345,1,5,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6349
10,13,155,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4409
18,20,1530,1,3,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17024
7,21,835,1,18,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13727
18,21,175,0,15,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8855
9,19,615,1,24,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12524
12,20,520,1,18,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13555
6,12,330,1,6,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10844
9,21,720,1,6,9,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13587
10,12,135,0,6,12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3543
7,9,135,0,18,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4842
24,2,170,0,24,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3943
19,4,550,1,6,9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10577
11,21,625,1,15,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6979
